id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2992450,Luxury 2 bedroom apartment,4621559,1462661762635155041,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,80,28,9,2022-08-17,0.06,1,77,0,
3820211,Restored Precinct in Center Sq. w/Parking,19648678,1463087024016718788,Ming,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,211,1,317,2026-01-25,2.20,7,328,8,
5651579,Large studio apt  by Capital Center & ESP@,29288920,1465431505328745177,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,97,1,406,2026-06-12,3.00,2,25,37,
6623339,Center Sq. Loft in Converted Precinct w/ Parking,19648678,1463087024016718788,Ming,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,160,1,332,2025-06-30,2.47,7,359,1,
9501054,Spacious suite with full bath by Capital  Center,29288920,1465431505328745177,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,86,1,469,2026-06-09,3.71,2,235,47,
10768745,Alb hospital area studio bath wifi. (Red),5691268,1462687000374947891,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Private room,58,1,906,2026-06-01,7.18,2,154,103,
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,1462534529294832741,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,277,1,227,2026-05-24,1.86,8,357,36,
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,1466759141736283314,Abdullah,,ELEVENTH WARD,42.67583,-73.78297,Private room,63,15,231,2024-02-29,1.89,2,364,0,
12799126,Private Room in the Hearth of the Albany,69729286,1462790700336018491,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,64,5,29,2025-08-09,0.41,2,263,1,
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms!,1364123,1462517583121314645,Akhilesh,,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,313,2,200,2026-06-14,1.65,1,319,11,
14316232,"Unique Modern Room, Perfect Location Albany",36438637,1462672002391360660,Chad,,TENTH WARD,42.65726,-73.78219,Private room,52,18,55,2026-02-28,0.46,2,276,1,
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,4259750,1462534529294832741,Peter,,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,394,1,143,2026-05-22,1.22,8,305,30,
15580397,Albany Medical/Downtown Albany/Colleges/ ROOM H,89705052,1467086595495050432,Share,,NINTH WARD,42.65651,-73.77887,Private room,69,2,55,2025-11-20,0.50,2,97,7,
16531782,On a little park in Albany pine hills. (Blue),5691268,1462687000374947891,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Private room,92,1,604,2026-06-01,8.20,2,333,108,
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,1466759141736283314,Abdullah,,FIFTH WARD,42.67614,-73.78169,Private room,61,15,132,2024-08-01,1.18,2,364,0,
17514620,Cozy Modern Room Perfect Location Albany,36438637,1462672002391360660,Chad,,TENTH WARD,42.6584,-73.78309,Private room,52,1,56,2024-11-02,0.50,2,332,0,
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,4259750,1462534529294832741,Peter,,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,412,2,58,2024-08-13,0.58,8,350,0,
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,1462957190806823558,Ed,,NINTH WARD,42.65312,-73.78161,Private room,92,1,92,2026-04-10,0.99,3,228,10,
20519885,5BedroomHome InAlbany 9YRSuperHost,67171774,1466830017061407026,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,388,4,132,2026-05-27,1.26,1,334,15,
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,1462534529294832741,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,246,1,102,2026-03-08,0.97,8,324,21,
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,1466808985903086145,James,,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,194,2,132,2025-10-20,1.32,2,355,1,
20671966,"The Metropolitan,3rd floor suite",98744672,1462867442279269365,Bela,,NINTH WARD,42.65532,-73.78244,Entire home/apt,129,2,54,2026-05-28,0.51,8,258,6,
21052414,Cozy bedroom with (2) walk-in closets,135717458,1468352157974798933,Chad,,THIRTEENTH WARD,42.66565,-73.77975,Private room,51,18,49,2026-01-09,0.51,3,359,3,
21392315,The Blair Suite,98744672,1462867442279269365,Bela,,NINTH WARD,42.65372,-73.78244,Entire home/apt,132,2,140,2026-02-28,1.34,8,259,8,
21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,4259750,1462534529294832741,Peter,,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,846,4,9,2025-08-05,0.09,8,364,1,
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",152762198,1468498032337807838,Allen,,TENTH WARD,42.66045,-73.77833,Entire home/apt,114,3,191,2026-05-13,1.83,9,236,10,
21769213,Cozy downstairs bedroom in quiet neighborhood!,135717458,1468352157974798933,Chad,,ELEVENTH WARD,42.66572,-73.77834,Private room,,18,36,2026-01-30,0.35,3,17,4,
21769439,Cozy upstairs room with (1) walk-in closet,135717458,1468352157974798933,Chad,,ELEVENTH WARD,42.66703,-73.77842,Private room,49,20,28,2026-01-02,0.27,3,303,2,
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,1462867442279269365,Bela,,NINTH WARD,42.65501,-73.78122,Private room,103,2,142,2026-06-11,1.38,8,312,20,
24606880,The Western Suite,98744672,1462867442279269365,Bela,,NINTH WARD,42.65431,-73.78178,Private room,97,2,58,2026-05-26,0.62,8,352,8,
25549565,Quiet and Pretty in the Heart of Center Square,9666970,1462820120726330552,Janet,,SIXTH WARD,42.65345,-73.7645,Entire home/apt,115,1,996,2026-05-31,10.20,1,102,61,
26139592,Garden Apartment in Ctr. Square: Monthly Discounts,6833937,1529315156049517032,Farah,,SIXTH WARD,42.65403,-73.76325,Entire home/apt,137,2,173,2026-06-14,1.81,1,309,31,
27670660,The Rock & Roll Suite,98744672,1462867442279269365,Bela,,NINTH WARD,42.6543083190918,-73.78177642822266,Private room,100,2,39,2026-05-18,0.44,8,296,13,
27692601,Albany Cozy home with fireplaces and Sunroom,202580880,1469057011898808987,Rosanne,,EIGHTH WARD,42.64514,-73.80668,Entire home/apt,343,2,17,2026-05-17,0.18,1,169,3,
28400263,Private Room in Historic Residential Home,15223767,1462957190806823558,Ed,,NINTH WARD,42.65464,-73.78348,Private room,69,1,280,2026-05-08,3.03,3,224,10,
28722270,Historic Loft Suite @ Downtown Albany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64535,-73.75365,Entire home/apt,142,1,749,2026-06-09,8.14,11,353,57,
28868857,Cozy Garden 2-Bed Full Amenities @ Downtown Albany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64535,-73.75365,Entire home/apt,119,1,692,2026-06-02,7.57,11,338,61,
28929840,"Spacious
private suite and private bath",194113768,1469010890368278657,Rachel,,FOURTH WARD,42.6737,-73.75313,Private room,195,1,9,2026-05-17,0.10,1,149,2,
29605579,Funky Urban Gem: Prime Central Location - Parking!,19648678,1463087024016718788,Ming,,SIXTH WARD,42.65235,-73.76714,Entire home/apt,186,1,137,2026-05-02,1.48,7,357,30,
30189794,Seashore Suite At The Inn on South Lake,98744672,1462867442279269365,Bela,,NINTH WARD,42.6533,-73.78114,Private room,100,2,78,2026-04-30,0.87,8,225,10,
32279028,"Cosy, comfy and quiet for one",172223381,1468671993638692507,Diana,,EIGHTH WARD,42.64936,-73.80278,Private room,,1,220,2026-02-27,2.46,2,0,7,
32450400,Moroccan Sands,97330032,1467172438450505870,Sherrell,,FOURTH WARD,42.6761,-73.73825,Private room,203,3,1,2024-10-28,0.05,1,270,0,
32993402,Historic Full Amenities 2BR Apt @Downtown Albany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64563,-73.75311,Entire home/apt,188,1,488,2026-06-06,5.53,11,348,36,
33558235,"Historic, Spacious & Fun 2BR Apt @ Downtown Albany",44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64585,-73.75297,Entire home/apt,186,1,505,2026-05-24,5.79,11,350,42,
35793179,Cozy Bedroom in Historic Residential Home,15223767,1462957190806823558,Ed,,SEVENTH WARD,42.65259,-73.78223,Private room,69,1,224,2026-04-01,2.65,3,228,26,
35914565,Perfect Downtown Base | 1BR + Free Parking,232967878,1468802372405829537,Diana,,SECOND WARD,42.64506,-73.75727,Entire home/apt,145,2,336,2026-05-30,3.97,14,73,25,
36443605,Sophisticated Retreat: 2BR in heart of Albany,188679144,1468977843653292721,Elizabeth,,THIRTEENTH WARD,42.66619,-73.79031,Entire home/apt,97,30,54,2024-08-14,0.64,11,365,0,
38321579,Comfy and quiet,172223381,1468671993638692507,Diana,,EIGHTH WARD,42.65085,-73.80239,Private room,75,1,490,2026-06-14,5.95,2,236,65,
39093517,Center Sq 2BR Brownstone | Walk Capitol | Parking,299638115,1469539483862628822,Flerida,,SIXTH WARD,42.65507,-73.76138,Entire home/apt,230,1,57,2026-04-19,0.72,4,306,11,
39698576,Spacious Designer 1-Bed Near Albany Med,188679144,1468977843653292721,Elizabeth,,NINTH WARD,42.65483,-73.78033,Entire home/apt,132,5,25,2026-04-07,0.31,11,269,1,
39864828,Stunning Bungalo-style Loft in Downtown Albany,10313615,1462573636941866633,Matthew,,FOURTH WARD,42.66091,-73.74285,Entire home/apt,303,1,247,2026-04-26,3.16,1,169,9,
40491172,"Renovated, private parking,location, washer dryer!",152762198,1468498032337807838,Allen,,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,137,3,147,2026-05-17,1.85,9,254,16,
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,1462706824969114136,Lloyd,,FOURTH WARD,42.67773,-73.73899,Entire home/apt,177,1,175,2026-06-11,2.24,1,224,2,
42009788,Center Square Sanctuary: Private 2-Bedroom Gem,188679144,1468977843653292721,Elizabeth,,SIXTH WARD,42.65315,-73.76202,Entire home/apt,132,7,25,2025-06-07,0.32,11,360,0,
42567833,Homey,339085327,1469660907478822967,Arkady,,NINTH WARD,42.65567,-73.7854,Entire home/apt,78,70,0,,,1,365,0,
42763847,Charming dog friendly home with private yard!,649068,1462524902671573394,Anthony,,FIRST WARD,42.63876,-73.78535,Entire home/apt,294,1,142,2026-06-04,1.90,1,140,24,
43208391,Cozy Historic 2BD Apt @ Downtown Albany,272907816,1469440311505165885,Angela,,SECOND WARD,42.64453,-73.75426,Entire home/apt,293,1,134,2026-06-07,1.92,3,74,19,
43459803,Center Sq Brownstone - Walk To Capitol - Parking,299638115,1469539483862628822,Flerida,,SIXTH WARD,42.65556,-73.76205,Entire home/apt,301,1,24,2025-12-11,0.37,4,365,6,
43736299,*The Blue House* Incredible 3 Bedroom Apartment,349460842,1469695254081708328,Scott,,TENTH WARD,42.66257,-73.78281,Entire home/apt,,,131,2024-10-28,1.80,21,0,0,
43955950,* Quaint home located in residential neighborhood*,232967878,1468802372405829537,Diana,,EIGHTH WARD,42.64383,-73.78926,Entire home/apt,371,2,92,2026-05-17,1.27,14,58,1,
44180048,Historic Queen Studio Across from Washington Park!,355777684,1463516757680974768,Lloyd,,SIXTH WARD,42.65935,-73.76805,Entire home/apt,140,1,401,2026-06-13,5.57,3,306,29,
44265426,Parkside Queen 1 Bedroom (1800's) Brownstone!,355777684,1463516757680974768,Lloyd,,SIXTH WARD,42.66006,-73.76966,Entire home/apt,159,1,330,2026-06-06,4.61,3,320,28,
44450012,Spacious upscale luxury apartment with huge yard,353498132,1463513883551164046,Michael,,EIGHTH WARD,42.64808,-73.7996,Entire home/apt,174,13,28,2026-04-13,0.40,6,242,2,
45024912,Private Apt Queen 1 Bed Sanctuary with many Extras,362851072,1469728623456169392,Elsa,,FOURTEENTH WARD,42.66132,-73.7956,Entire home/apt,168,1,134,2026-06-07,1.90,1,358,5,
45074220,Secluded Studio Loft 3fl@ Historic Downtown Albany,272907816,1469440311505165885,Angela,,SECOND WARD,42.64454,-73.75369,Entire home/apt,166,1,57,2026-06-14,0.99,3,73,17,
45528939,UNIQUE Gem in HEART of Albany ★ Spiral Staircase,47625981,1462707263288165799,Linda,,SECOND WARD,42.64801,-73.75668,Entire home/apt,217,1,102,2026-04-12,1.56,16,185,3,
45529316,WOW ★ Bright Apt ★ PRIME downtown Walk Everywhere,47625981,1462707263288165799,Linda,,SECOND WARD,42.64821,-73.75793,Entire home/apt,217,1,132,2026-02-26,2.01,16,330,9,
45529447,★ 2 BEDROOM / 1 BATH TRENDY Apt ★ Downtown Albany,47625981,1462707263288165799,Linda,,SECOND WARD,42.64713,-73.75628,Entire home/apt,234,1,155,2026-05-08,2.37,16,183,9,
46894493,Our Antique Bungalow,69789449,1466863849029352778,Dan,,NINTH WARD,42.65311,-73.78525,Entire home/apt,331,1,280,2026-05-17,4.29,1,234,22,
47334913,"Newly renovated,Amazing Location,private parking",152762198,1468498032337807838,Allen,,THIRTEENTH WARD,42.66646,-73.79184,Entire home/apt,134,3,121,2026-05-21,1.85,9,243,25,
47345872,Bright large 1 bdr loft in Center Sq -free parking,19648678,1463087024016718788,Ming,,SIXTH WARD,42.65345,-73.76663,Entire home/apt,180,1,116,2026-06-05,1.78,7,335,51,
47408047,"Quiet cozy apartment, private laundry, great spot!",152762198,1468498032337807838,Allen,,FOURTEENTH WARD,42.67156,-73.80883,Entire home/apt,122,3,85,2026-05-24,1.31,9,335,14,
47440071,The Loft Suite @ The Historic Jesse Buel House,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.6692,-73.79849,Private room,150,1,216,2026-05-14,3.27,12,2,43,
47828453,Center Sq 2BR Brownstone | Parking | Walk Capitol,299638115,1469539483862628822,Flerida,,THIRD WARD,42.656,-73.76123,Entire home/apt,198,1,29,2026-02-26,0.44,4,205,8,
47943571,Downtown Albany 1 Bed + Workstation @ Maiden Lane,385664127,1469792751916945840,Dillon,,THIRD WARD,42.65118,-73.75274,Entire home/apt,218,1,190,2026-05-13,2.92,2,248,20,
48052353,*The Rustic Home* 3 Bedroom Second Floor Apartment,349460842,1469695254081708328,Scott,,TENTH WARD,42.66261,-73.78332,Entire home/apt,265,1,175,2026-05-16,2.69,21,331,8,
48124042,Downtown Albany 2 Bedroom + Workstation @ The Mark,385664127,1469792751916945840,Dillon,,THIRD WARD,42.64982,-73.7509,Entire home/apt,276,1,257,2026-05-21,4.35,2,162,26,
48172884,The Down Under Suite,98744672,1462867442279269365,Bela,,NINTH WARD,42.65399,-73.78126,Private room,86,2,92,2026-06-06,1.43,8,265,14,
48470454,"/ New Giant Victorian \ 7beds 6 baths + 2x 85"" TVs",4259750,1462534529294832741,Peter,,THIRTEENTH WARD,42.66526412963867,-73.78692626953125,Entire home/apt,1041,1,67,2026-05-24,1.41,8,339,22,
48599533,Capital View I,392074908,1463595615159577266,Jerry,,SIXTH WARD,42.65429,-73.75986,Entire home/apt,149,2,109,2026-05-18,1.85,3,146,6,
50171851,Beautiful Center Square Garden-Level Unit,48490017,1465734650569140554,Todd,,SIXTH WARD,42.65157,-73.76546,Entire home/apt,127,2,221,2026-05-11,3.75,1,88,30,
50207226,★ RARE 1BR Apt with Character GREAT Location! W/D★,47625981,1462707263288165799,Linda,,FOURTH WARD,42.65888,-73.74673,Entire home/apt,215,1,105,2026-05-09,1.72,16,185,16,
50211226,"Studio in Heart of the City, Minus the Chaos",105597161,1467275899081917666,Katelyn,,ELEVENTH WARD,42.66034,-73.77163,Entire home/apt,189,2,201,2026-05-19,3.70,1,318,16,
50354540,Heart of Center Square: Designer 2-Bed Retreat,188679144,1468977843653292721,Elizabeth,,SIXTH WARD,42.65333,-73.76402,Entire home/apt,207,3,20,2025-10-05,0.33,11,362,4,
50639032,"Sunny Queen bed, Quiet w/Beautiful Garden",172539578,1468674780519988222,David Yisrael,,FIFTEENTH WARD,42.67945,-73.81647,Private room,96,3,46,2025-08-10,0.80,1,119,1,
50890336,"★CHIC, Renovated Brownstone★ in PRIME DT Albany",47625981,1462707263288165799,Linda,,FOURTH WARD,42.65901,-73.74748,Entire home/apt,217,1,47,2026-01-19,0.79,16,194,2,
51230498,"Chic-romantic, center-city, hotel-style apartment.",414738935,1469887436147360903,Sonya,,THIRD WARD,42.66064,-73.76074,Entire home/apt,112,1,278,2025-11-13,4.65,1,125,23,
51461480,🍃Chic & Cozy Near Washington Park Garden Suite,416799784,1469894945270970450,Rosie,,TENTH WARD,42.65969,-73.77564,Entire home/apt,126,1,32,2026-03-31,0.57,1,146,3,
51579900,★MODERN 1BR GREAT Location Downtown! W/D Parking!★,47625981,1462707263288165799,Linda,,FOURTH WARD,42.65856,-73.74866,Entire home/apt,166,1,89,2026-05-17,1.51,16,131,10,
51592836,Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,1466741239795455187,David,,THIRD WARD,42.65844,-73.74978,Entire home/apt,162,2,98,2026-05-17,1.72,3,360,8,
52152157,"Modern space, everything you could want!",152762198,1468498032337807838,Allen,,FIRST WARD,42.63066,-73.77357,Entire home/apt,196,3,93,2026-05-26,1.62,9,135,20,
52241973,Garden Apartment in Historic Center Square Home,35465673,1465524025417752024,Jason,,SIXTH WARD,42.65641,-73.76413,Entire home/apt,118,1,401,2026-05-31,7.06,1,59,75,
52360097,Empire Plaza View II,392074908,1463595615159577266,Jerry,,SIXTH WARD,42.65386,-73.75958,Entire home/apt,149,2,81,2026-05-16,1.41,3,353,5,
52611613,* Adorable home w/parking near great restaurants *,232967878,1468802372405829537,Diana,,NINTH WARD,42.65674,-73.79221,Entire home/apt,268,2,158,2026-05-17,2.78,14,243,20,
52691284,+ Perfect place to make memories with loved ones +,232967878,1468802372405829537,Diana,,TENTH WARD,42.66236,-73.79245,Entire home/apt,819,1,113,2026-05-31,1.99,14,236,23,
52837196,★MODERN 1BR Apt w/ PRIVATE deck! W/D★,47625981,1462707263288165799,Linda,,FOURTH WARD,42.65812,-73.74837,Entire home/apt,217,1,88,2025-10-20,1.56,16,196,12,
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,1463516757680974768,Lloyd,,SIXTH WARD,42.65826,-73.76944,Entire home/apt,154,1,283,2026-06-13,5.01,3,327,75,
53483727,Spacious Urban APT w/4BR & Office in Albany,433096110,1469960451015410512,Brian,,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,315,1,188,2026-06-14,3.47,4,230,30,
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,1469960451015410512,Brian,,SIXTH WARD,42.65204,-73.76655,Entire home/apt,177,1,308,2026-06-07,5.61,4,89,39,
53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,47625981,1462707263288165799,Linda,,FOURTH WARD,42.65913,-73.74722,Entire home/apt,269,1,144,2026-05-24,2.62,16,178,24,
53860077,/ Sauna Garden Getaway\ 1943 SUNY Eagle Hill,4259750,1462534529294832741,Peter,,FIFTEENTH WARD,42.674675,-73.822861,Entire home/apt,701,1,62,2026-05-26,1.20,8,356,22,
53971505,Charming 1 Bdrm Garden Apt in Historic Brownstone,60293220,1466741239795455187,David,,FOURTH WARD,42.65873,-73.7494,Entire home/apt,,13,3,2022-12-31,0.06,3,365,0,
54126420,Pine Hills Stay 1 Bedroom,37769478,1465565296852923022,Erion,,TENTH WARD,42.66261,-73.79026,Entire home/apt,146,1,124,2026-05-24,2.54,16,248,19,
54126421,Beautiful 2 BDR Apartment in the heart of Albany,37769478,1465565296852923022,Erion,,SIXTH WARD,42.65422,-73.76996,Entire home/apt,183,1,82,2026-05-31,1.59,16,325,13,
54126427,Beautiful 1 bedroom In the heart of Albany,37769478,1465565296852923022,Erion,,SIXTH WARD,42.65403,-73.77056,Entire home/apt,173,1,192,2026-04-01,3.55,16,337,56,
54150131,Charming 170-Year-Old Home in the Heart of Albany,432936385,1463689402952759374,Jared,,SIXTH WARD,42.65143,-73.76497,Entire home/apt,,1,266,2026-03-08,5.13,1,0,39,
54369238,"Cozy townhouse, close to hospital, free parking!",152762198,1468498032337807838,Allen,,NINTH WARD,42.65578,-73.78641,Entire home/apt,144,3,87,2026-05-17,1.92,9,219,29,
54369240,Lovely 1 bedroom rental close to Alb Med!,152762198,1468498032337807838,Allen,,TENTH WARD,42.65905,-73.77964,Entire home/apt,137,3,66,2026-03-13,1.33,9,319,9,
559249822516788574,Cozy 1 bedroom with office and luxurious King size,433884293,1463691595726230778,Uniah,,NINTH WARD,42.66062,-73.79112,Entire home/apt,95,5,2,2023-06-26,0.04,1,363,0,
588298411730694861,Modern one bedroom with free off street parking,353498132,1463513883551164046,Michael,,SECOND WARD,42.64441,-73.75647,Entire home/apt,108,13,17,2026-03-01,0.35,6,166,3,
593272120497643087,Jesse's Suite @ The Historic Jesse Buel House,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.66911,-73.79869,Private room,124,1,157,2026-05-03,3.25,12,3,31,
617242073954595468,Iconic City Center Apt in Downtown | Pets Allowed,433096110,1469960451015410512,Brian,,SIXTH WARD,42.65353,-73.7679,Entire home/apt,177,1,242,2026-06-15,4.84,4,91,63,
619695112394148331,Modern luxury one bedroom with off street parking,353498132,1463513883551164046,Michael,,SECOND WARD,42.64489,-73.75731,Entire home/apt,152,13,12,2026-02-20,0.25,6,282,2,
621960198566758900,The Historic Jesse Buel Farmhouse,382970529,1463574448322349045,Thomas,,FOURTEENTH WARD,42.66762,-73.79919,Entire home/apt,1701,1,18,2025-09-25,0.38,12,148,3,
628163387057233327,★SPACIOUS 1BR Apt w/ Character 10ft Ceilings W/D!★,47625981,1462707263288165799,Linda,,SECOND WARD,42.64528,-73.75861,Entire home/apt,208,1,66,2026-05-29,1.35,16,189,9,
628824127129967353,Clean lines and accessible Convenient Location!,7164949,1462725085982507597,Jordan,,THIRD WARD,42.66169974831227,-73.76466827605744,Private room,94,3,0,,,1,88,0,
634108143238179968,Perfect for Families and Traveling Professionals,119340359,1468216801748309332,Lori,,SIXTH WARD,42.65323,-73.76797,Entire home/apt,,30,103,2025-07-30,2.09,2,0,2,
638900897313146306,🪴 Historic & Homey 1 Bdrm Apt @ Downtown Albany,335923036,1469650748931621016,Mohammed,,SECOND WARD,42.645351,-73.753647,Entire home/apt,1267,1,10,2023-08-26,0.20,1,365,0,
649973892551492641,Modern luxury studio with free off street parking,353498132,1463513883551164046,Michael,,SECOND WARD,42.64625,-73.75663,Entire home/apt,216,14,8,2024-11-26,0.17,6,166,0,
658638185191740358,CHEERFULL 3 BEDROOM HOME WITH FREE PARKING.,466389096,1470102386072068557,Patrice,,FIRST WARD,42.6374547,-73.7716647,Entire home/apt,214,5,5,2023-09-22,0.10,2,357,0,
662132809952482192,Beautiful 4 bedroom house Large eat in kitchen,466389096,1470102386072068557,Patrice,,FIRST WARD,42.6378819,-73.7715269,Entire home/apt,176,7,2,2024-08-12,0.04,2,365,0,
677623197606854496,**New Listing! Modern 2 bdrm Apt in Mansion Area!,203631769,1469062611976814767,Johnny,,SECOND WARD,42.64531,-73.75963,Entire home/apt,,2,28,2023-09-29,0.60,1,0,0,
